x,y,z,ground_z,is_vegetation,height_agl
82.04142869296703,23.94212010373593,17.629894029618434,6.87982622557961,1,10.750067804038824
51.78453049969865,92.3449975597924,6.272341691884769,6.233116272579149,0,0.0392254193056196
54.40686145447147,45.40729891308458,5.513313328877946,5.668126574888897,0,0.0
95.317870007809,73.12446901632718,16.8693717135075,7.426411319779591,1,9.44296039372791
54.260562303804285,54.63284910262004,11.38501331583652,5.798023621903884,1,5.586989693932635
64.84310306946092,94.4321071955237,7.006369216465285,7.1374450744260525,0,0.0
57.5566990124766,45.1754473285728,13.67574017904351,5.8648551563901,1,7.81088502265341
30.866622583927704,37.16440453839981,9.29392806496129,5.356583020345044,1,3.9373450446162463
60.92272823902991,43.27477639880236,9.099750815833088,6.077312412622852,1,3.0224384032102343
65.77495757980319,74.17289687183435,6.8009431550361965,6.902007402024904,0,0.0
